ID,Question,Answer,Label,Source_Dataset
5829IqfH0v_SCRjimDfqJQV162,Mengapa Indonesia adanya peringatan perjalanan wisatawan asing ke Indonesia tidak terlalu berdampak pada ekonomi Indonesia?,karena Indonesia adalah negara yang ekonomi domestiknya cukup kuat dan dominan,B,IndoQA-Train
690GIHw-tnLr_HWI41EF_rt2901,Berapa banyak yang tewas ketika operasi penertiban dilakukan?,sekitar 100.000 hingga 2 juta jiwa,C,IndoQA-Test
1949jEKqGQclC11Cc2b7IDqv2299,siapa yang merebut kembali teritori Utsmaniyah di Balkan?,Murad II,C,IndoQA-Train
182,Apa yang menjadi perbedaan untuk Romawi dari Yunani dalam bidang ilmu pengetahuan?,lebih menekankan pada segi praktik,B,QASiNa
1624hBAQ-7gFHAz6HK69Oij61169,Apakah fungsi dari presiden Singapura ?,jabatan seremonial,C,IndoQA-Test
717GIQkXVVB0r9TgF9XjTKs2834,Kapan Sidang Umum MPR yang melantik Soeharto diperiode ketiga?,1 Maret 1983,B,IndoQA-Train
2697v70pWXgc-DSg0veQwf_g973,Pada tanggal berapa malaysia terbentuk?,16 September,A,IndoQA-Train
2960UnXl4G14Yymd8PXaR5Uk3960,Siapakah yang mendukung Italia dalam invasinya ke Ethiopia?,Jerman,A,IndoQA-Train
1812jg8YLyuOp3yNSeoSgGds3405,Di kalangan warga AS manakah keraguan tentang Tuhan berkembang pesat?,warga Amerika yang berusia di bawah 30 tahun,B,IndoQA-Train
1162WEg_WPImiRPmAPvN_wnE3045,Siapakah nama ibu dari B.J. Habibie?,R.A. Tuti Marini Puspowardojo,B,IndoQA-Train
2642Y-shkE7TvvsDno5omjMf1126,Pada tanggal berapa federasi dalam persemakmuran mendapatkan kemerdekaan?,31 Agustus 1957,B,IndoQA-Test
240,Dinasti apa yang membawa kejayaan Arab Islam?,Dinasti Umayyah,A,QASiNa
5a7b6e1d5542997c3ec9716e,"Majalah sastra Okyeame diilhami oleh perdana Menteri Ghana yang pertama ini, yang memimpin Ghana untuk merdeka dari negeri mana?",Inggris,C,Hotpot-Validation
2535_pSTmM_bPcfnFUozn-RN1692,Siapakah yang menggantikan Ariel Sharon ?,Ehud Olmert,A,IndoQA-Train
19410cAiVIRRgASbt7wWgZD-2319,Berapa lama masa jabatan ketua KTT?,tiga tahun,B,IndoQA-Train
9708OuWanhVP-hqUoh93Luk490,Bagaimana Maukar mengetahui bahwa tidak ada Preisden di istana? ,dia sudah memastikan tak melihat bendera kuning dikibarkan di Istana,B,IndoQA-Train
2131ThABbwh5RS-HlVdmLPDZ1418,Kapankah Soedirman diangkat menjadi jenderal besar ?,1997,C,IndoQA-Train
1778w_0Pgt92UHRoeIwEqNNr3481,Berapa usia minimum bagi warga AS untuk diperbolehkan merokok?,18 tahun,A,IndoQA-Train
1016iZHfARlbR17vRBgOG7AS366,Apa asumsi terhadap konsep demokrasi?,amat responsif pada keinginan publik,C,IndoQA-Train
1547rVvVmo8n7n4hWjoxYT1t1371,Kapankah pengikut Hatta mendirikan Gerakan merdeka ?,Desember 1931,B,IndoQA-Test
1497JQ4ZHRsRX7evdsz7Cnxn2026,Berapa banyak orang Indonesia yang menyelesaikan pendidikan dasar Barat?,75.000 orang,B,IndoQA-Train
854G5_8fmgOx2wqp3G98Wbo2737,Disebut apakah suku minoritas secara sosial di Jepang ?,burakumin,A,IndoQA-Test
10225FLoQxnwSkdi_B5KomYG350,Apa saja nama lain dari Jepang?,Nippon atau Nihon,A,IndoQA-Train
6a6c55547e3943b5a894446d2f7886d8,Apakah Ptolemaios XII masih hidup setelah keberangkatan Kleopatra ke Hermontis?,Tidak,A,IndoQA-Test
1950nowBLpOA67rIGhAdsyYf2296,Kapan Mehmed II menaklukkan Konstantinopel?,29 Mei 1453,A,IndoQA-Test
331,Apa nama kabilah yang bercabang dari Kabilah Wail?,Bakr dan Taghlab,B,QASiNa
2035J1MJMoTd9gGklMZih2E72143,Menurut siapa terjadinya pembelokan sejarah?,Menteri Pendidikan dan Kebudayaan Professor Wardiman Djojonegoro,B,IndoQA-Test
1394LcuxyhYsHZXMFcfrZiXD703,Siapa wakil perdana menteri yang berasal dari masyumi?,Mohamad Roem,B,IndoQA-Test
2963SvvO1TYX7ABi60_kmjOW3952,Apa yang dilakukan Soviet dan Jerman dalam menguji senjata dan takti baru mereka?,perang proksi,A,IndoQA-Test
2161ve-pKOVFfnwct9-ZGtow4196,Mengapa pasukan mongol terpaksa menarik mundur pasukannya?,Raden Wijaya berbalik menyerang sekutu Mongolnya,C,IndoQA-Train
2581ppi0j1b9BNl9BapOdicC2430,Siapa Duta Besar Belanda untuk Indonesia pada tahun 1983?,Lodewijk van Gorkom,B,IndoQA-Train
2104i0gKzSVXucEKM9-yEEk01496,Apakah nama organisasi kepanduan putra milik Muhammadiyah ?,Hizboel Wathan,B,IndoQA-Test
2704SYrBfH1tUHa-vFcWOrAs952,Apa ciri-ciri malaikat sebagai makhluk ghaib?,"wujud Malaikat tidak dapat dilihat, didengar, diraba, dicium dan dirasakan oleh manusia",B,IndoQA-Train
18328gCMjbpzCLFnoMXN6srf3354,Apa nama pameran yang menampilkan karya seni modernis Eropa di New York pada tahun 1913?,Armory Show,A,IndoQA-Test
15629LVg0fMbpcV7lJ9LKY9C1331,Kapankah hari Koperasi Indonesia ?,12 Juli,A,IndoQA-Test
1971wAtIPOivQQGrt9-QMXKx2252,Pada tahun berapa Britania raya mendapatkan hak pemerintahan di Siprus?,1878,A,IndoQA-Train
5f8292eaf4f94d329c966d56cc866421,Apakah Kleopatra datang ke Antiokhia sendirian?,Tidak,A,IndoQA-Train
3018ir8K9UU-cmqq5IQcmz7l3821,Siapakah yang menggantikan Churchill sebagai perdana menteri?,Clement Attlee,A,IndoQA-Test
568riF6WKYPtmQvPRer2HKt206,Berapa total luas perairan Indonesia?,3.110.000 km²,A,IndoQA-Test
2956Otjt30tSP4HL0iirPKga3970,Siapakah pemimpin gerakan Fasis di Italia?,Benito Mussolini,A,IndoQA-Train
25185MAzxodWaNF6paGbye9m1739,Apakah tanah Israel dalam bahasa Ibrani ?,Eretz Yisrael,A,IndoQA-Train
2680JFom2C2m5B61Zmr5e-xw1022,Apa yang siswa pada Form Three dapatkan di akhir masa belajarnya?,siswa-siswi diuji di dalam Penilaian Menengah Rendah,B,IndoQA-Train
1804sbJDwYgn5ITAsJozTKbY3425,Apa salah satu faktor utama pendorong pertumbuhan popoulasi di AS?,Angka kesuburan,C,IndoQA-Test
2079-LyObLxGymHC2hBqr_KO1564,Mengapa dalam 15 tahun dinding galeri miring dan relief rusak/retak ?,Van Erp menggunakan beton yang menyebabkan terbentuknya kristal garam alkali dan kalsium hidroksida yang menyebar ke seluruh bagian bangunan dan merusak batu candi,B,IndoQA-Train
5ac4e03f5542995c82c4ad75,"Siapa bintang film Korea Selatan 2008 yang kemudian dibuat kembali sebagai film Hindi berjudul ""Murder 2"" pada 2011?",Kim Yoon-seok dan Ha Jung-woo,C,Hotpot-Validation
25526-mdBN1m4YP0Bk2PODJW2485,Strategi perang apa yang diterapkan oleh Pangeran Diponegoro?,strategi perang gerilya,A,IndoQA-Test
985ZjvvC0gTx6zRqASlgtzC445,Siapa orang yang memberikan rumah kepada soekarno?,Syech Faradj bin Martak,B,IndoQA-Train
1600ywzg9ULBGI5IAxrJ6foM1237,Siapakah dua orang lain yang dipenjara bersama Ki Hajar Dewantara ?,Douwes Dekker dan Tjipto Mangoenkoesoemo,B,IndoQA-Train
646uZynkMYdhv1JIw-EffYb3014,Apa nama situs web untuk berbagi video?,YouTube,A,IndoQA-Train
2663ayztHU9rA3Qc2s7ndAID1074,Apa yang pejabat malaysia lakukan pada bulan Maret 2006?,Malaysia mencabut larangan penjualan singkat,B,IndoQA-Train
1816M49IXoDpU__17vFIazVS3396,Berapa estimasi persentase warga AS yang tidak bisa membaca?,1%,A,IndoQA-Train
1952VkcVXDZByWM4BEkloo3g2292,Kapan Suleiman Agung merebut Beograd?,1521,A,IndoQA-Train
2161ve-pKOVFfnwct9-ZGtow4197,Darimana kata maja pada majapahit berasal?,diambil dari buah maja,A,IndoQA-Test
