id,q_semantic_score,q_entity_translation_score,a_semantic_score,a_entity_translation_score,evaluator
5ac39df8554299741d48a2b6,4,5,5,5,EZ
5addda9b5542992200553b5b,3,5,5,5,EZ
5a7c4a6455429907fabeef53,5,5,5,5,EZ
5abfa9745542997ec76fd426,5,3,5,5,EZ
5a762d53554299109176e6a7,5,3,5,5,EZ
5a74c85055429916b0164218,5,5,5,5,EZ
5a7c465a5542990527d5547f,4,5,5,5,EZ
5a78f3d255429970f5fffdf1,5,2,5,5,EZ
5a83d42d5542992ef85e2375,5,5,5,5,EZ
5ae7fb1155429952e35ea9eb,3,5,5,5,EZ
5abfc8675542993fe9a41e52,5,5,5,5,EZ
5a824858554299676cceb247,4,5,5,5,EZ
5a8789115542994846c1cd9a,5,5,5,5,EZ
5ae82c3d55429952e35eaa75,4,5,5,5,EZ
5a7526945542993748c897d2,5,5,5,5,EZ
5ab5c984554299488d4d9a21,5,5,5,5,EZ
5adcf48e5542992c1e3a24d4,3,5,5,5,EZ
5a7e1ad155429965cec5ea66,5,5,5,5,EZ
5ade914b55429939a52fe8f9,5,5,5,1,EZ
5ae829ea5542997ec2727738,5,5,5,5,EZ
5a7dc7895542995ed0d16673,5,5,5,5,EZ
5ab594545542997d4ad1f183,3,5,5,5,EZ
5a7631c05542994ccc91870b,5,5,5,5,EZ
5ae4903855429913cc2044a0,5,3,5,5,EZ
5ae2fca555429928c423958a,4,2,5,1,EZ
5adf9b415542995ec70e904c,5,5,5,5,EZ
5a8241a855429940e5e1a819,5,1,5,5,EZ
5a7ba11d554299294a54aa39,5,5,5,5,EZ
5adf51e05542995534e8c78a,4,5,5,5,EZ
5abcf70b55429959677d6b7e,4,1,5,5,EZ
5aba18ee5542994dbf0198b4,3,5,5,5,EZ
5ade17d255429939a52fe80e,4,3,5,5,EZ
5a77e96c5542995d8318132d,5,4,5,5,EZ
5a77767a55429967ab10519b,5,5,5,5,EZ
5a80e5f5554299260e20a1ae,5,5,5,5,EZ
5a7e08b55542997cc2c474fe,4,5,5,5,EZ
5ac4d2cd5542995c82c4ad73,4,5,5,5,EZ
5a7be294554299294a54ab44,5,3,5,5,EZ
5a7cff5755429907fabef09d,4,5,5,5,EZ
5add2397554299473435386f,5,5,5,5,EZ
5a716a9b5542994082a3e821,4,5,5,5,EZ
5a7d26bd554299452d57bb28,4,5,5,5,EZ
5a7bf3da5542996dd594b869,5,5,5,5,EZ
5ae2136d5542997283cd23b6,5,5,5,5,EZ
5a7ef6b35542994959419a94,5,5,5,5,EZ
5a85f98e5542996432c57152,4,5,5,5,EZ
5ab8b02d5542991b5579efdb,5,5,5,5,EZ
5addda1b5542992200553b55,4,5,5,5,EZ
5adcc7515542994ed6169bff,5,5,5,5,EZ
5a83b1e75542990548d0b220,5,5,5,5,EZ
5abe7eb05542993f32c2a12c,5,1,5,5,EZ
5ae13b085542997b2ef7d146,5,5,5,5,EZ
5a8ccceb554299653c1aa128,5,3,5,5,EZ
5a7dacff5542991319bc93e0,4,5,4,4,EZ
5a7323ef5542994cef4bc477,5,5,5,5,EZ
5ab5f249554299488d4d9a5d,5,5,4,5,EZ
5a7943ea5542994bb9456fd3,3,5,5,5,EZ
5ab9b7d555429970cfb8eb7a,5,5,5,5,EZ
5a75fa14554299109176e5dc,5,3,5,5,EZ
5a749af055429979e28829b7,5,3,5,3,EZ
5a861ea85542994775f60700,5,5,5,5,EZ
5ae37ec25542990afbd1e178,5,5,5,5,EZ
5a7ab1e955429931da12c95d,5,5,5,5,EZ
5ab3fc215542992339550027,5,5,5,5,EZ
5ac3d10b5542993915413952,4,5,5,5,EZ
5a79311755429970f5fffe67,5,5,5,5,EZ
5ac3bab155429939154138fb,5,3,5,5,EZ
5abea05f5542991f661061b6,5,5,5,5,EZ
5ab720685542993667793f44,5,5,5,5,EZ
5a81737155429903bc27b96f,5,5,5,5,EZ
5a8622ae554299211dda2a7e,5,5,5,5,EZ
5abba4855542993f40c73b68,5,5,5,5,EZ
5abdbabe5542993f32c2a028,5,5,5,5,EZ
5a8986fd55429938390d4046,5,5,5,5,EZ
5ae824295542997ec272772f,5,5,5,5,EZ
5a7d109855429909bec7692f,5,5,5,5,EZ
5a8f2cc855429918e830d1be,3,5,5,5,EZ
5ab94bc2554299743d22eacf,5,5,5,5,EZ
5a835478554299123d8c20ed,3,5,5,5,EZ
5a8bb7f95542996e8ac889ff,5,5,5,5,EZ
5ae21937554299234fd043d3,5,5,5,5,EZ
5a8d93ad554299653c1aa13d,4,5,5,5,EZ
5ae72e5d5542991e8301cba8,4,5,5,5,EZ
5a776f8555429972597f1534,5,5,5,5,EZ
5a83d0845542996488c2e4e6,5,1,5,1,EZ
5ae25e835542992decbdccd1,5,3,4,5,EZ
5a7ec95b55429934daa2fc67,5,5,5,5,EZ
5a8febb555429916514e73e4,3,5,5,5,EZ
5a77e70f5542992a6e59dfeb,5,5,5,1,EZ
5adbd68155429947ff173842,5,5,5,5,EZ
5aba11d25542994dbf0198a6,5,5,5,5,EZ
5ab5a4555542997d4ad1f19c,5,5,5,3,EZ
5adfef32554299603e4183ca,5,5,5,5,EZ
5ac562115542993e66e823bf,5,3,5,5,EZ
5a78ce5d55429974737f78ac,5,5,5,5,EZ
5a7360235542991f29ee2dc7,5,5,5,5,EZ
5ac31bbd554299741d48a1f9,5,5,5,5,EZ
5a7c54eb554299683c1c62e8,4,5,5,5,EZ
5ac3d1d9554299204fd21e8a,5,5,5,5,EZ
5ae12b6755429920d52342e4,4,5,5,5,EZ
5a7dc2495542997cc2c4749a,4,5,5,5,EZ
5a7613c15542994ccc9186bf,2,5,5,5,EZ
5a8e0c595542995085b373b0,5,5,5,5,EZ
5a8a575a554299515336136e,5,5,5,5,EZ
5a9092cc55429916514e74fd,5,5,5,1,EZ
5a7790ed5542992a6e59defb,5,1,5,5,EZ
5adf03b35542993a75d263d3,2,5,5,5,LY
5ab482815542990594ba9c3d,1,2,5,5,LY
5abc5603554299700f9d7875,4,4,5,5,LY
5a88f2cc55429938390d3ffb,5,5,5,5,LY
5ab2a8b655429929539467ab,4,5,5,5,LY
5abe36aa5542993f32c2a08f,5,5,2,3,LY
5ac2782d55429963665199cc,1,2,5,5,LY
5a71380c5542994082a3e68b,2,5,5,5,LY
5ae234e85542994d89d5b395,4,5,5,5,LY
5adea9ea55429939a52fe934,5,5,5,5,LY
5a89007355429938390d4026,2,5,5,5,LY
5ab8f53355429916710eb0d1,4,5,5,5,LY
5a8db2105542994ba4e3dd04,4,2,5,5,LY
5a82301155429926c1cdae4a,1,2,5,5,LY
5a8f25175542997ba9cb31ea,2,5,5,5,LY
5a89d8d055429946c8d6e9df,1,5,5,5,LY
5a71148b5542994082a3e567,5,3,5,5,LY
5a7652785542992db9473760,2,2,5,5,LY
5a77769e5542997042120a65,4,5,3,3,LY
5a81d81e554299676cceb0f6,4,5,5,5,LY
5ab91ef3554299753720f708,4,3,5,5,LY
5abface75542990832d3a196,5,5,2,2,LY
5a7b46e55542995eb53be8e5,5,5,5,5,LY
5a8e4e7855429917b4a5bd92,2,3,5,5,LY
5a8e0b7f5542995085b373ae,2,3,5,5,LY
5a8eabf755429917b4a5bdaa,3,5,3,5,LY
5a7efd2f5542994959419a9c,4,5,5,5,LY
5ab504865542991779162d52,1,5,3,5,LY
5adf860e5542993344016cbc,2,2,5,5,LY
5ab392ec55429969a97a817d,4,5,5,3,LY
5a8d0c74554299585d9e37a1,4,5,5,5,LY
5ab8284d5542990e739ec83f,4,4,5,5,LY
5a8b6ac055429949d91db5a5,5,5,5,5,LY
5a72a2935542991f9a20c546,1,5,4,2,LY
5ab3f24c5542992ade7c6eef,4,5,5,5,LY
5ab310bb554299233954fef9,5,4,5,5,LY
5a89d26b5542992e4fca83d1,4,5,5,5,LY
5ab632aa55429953192ad296,3,5,5,5,LY
5ac0d9a35542992a796ded90,5,5,5,5,LY
5abbdc3f55429931dba145af,2,5,5,5,LY
5a79cd395542994bb94570be,4,5,5,5,LY
5ab4428c5542990594ba9bda,5,5,5,5,LY
5a8f533d5542992414482a4c,5,5,5,2,LY
5ac13d5c5542996f0d89cc78,3,5,5,5,LY
5a7a633a55429941d65f2609,5,4,5,5,LY
5ab8688b55429934fafe6daa,4,5,5,5,LY
5a85ab905542994c784ddb35,3,5,4,2,LY
5ac3af895542995ef918c1f0,4,5,5,5,LY
5ae530e355429908b6326561,5,5,5,5,LY
5ae1e22a5542997f29b3c160,4,5,5,5,LY
5a7f7e3a5542992097ad2f89,4,1,5,5,LY
5adcf3a45542994ed6169c38,5,5,5,5,LY
5ab3e577554299233954ffe3,4,5,5,5,LY
5ac2680055429963665199a8,3,2,5,5,LY
5ab2a54b554299295394678e,5,3,5,5,LY
5ae66d515542992ae0d16346,5,5,5,5,LY
5a7def0d5542990b8f503af9,5,4,5,5,LY
5ac1a4ed5542994d76dcce90,5,5,5,5,LY
5ab6e6c7554299710c8d1fa4,2,5,5,5,LY
5a8b987f5542997f31a41d7a,5,5,5,5,LY
5a841b215542990548d0b25b,4,5,5,5,LY
5a8bd49d5542997f31a41dd7,3,1,5,5,LY
5a88e3cc5542997e5c09a6c2,5,5,5,5,LY
5abea98d5542990832d3a07d,5,5,5,5,LY
5a77a14655429949eeb29f13,4,5,5,3,LY
5a7d2afb554299452d57bb41,5,5,5,2,LY
5ae73c065542991e8301cc18,4,5,5,2,LY
5ae08a0455429924de1b70fc,5,5,5,5,LY
5ab484415542990594ba9c44,5,4,5,2,LY
5add1e565542990d50227dea,2,5,5,5,LY
5ab85f555542992aa3b8c8ca,5,5,5,3,LY
5a8b14125542992d82986fd5,1,5,5,5,LY
5a79395455429970f5fffe7d,4,2,5,5,LY
5ae6097c55429929b0807a9a,3,4,5,5,LY
5abba3cd554299642a094aee,2,5,5,5,LY
5a77c58b55429967ab105281,5,5,5,5,LY
5ae362105542991a06ce99ae,5,5,5,5,LY
5a7757215542993569682d58,2,5,5,2,LY
5ab9753055429970cfb8eb0b,1,5,3,5,LY
5a8a5a1955429930ff3c0da7,2,5,5,5,LY
5a7c9cc45542990527d554e1,5,5,5,5,LY
5a7607b6554299109176e619,5,4,5,5,LY
5a8db42f5542994ba4e3dd11,5,5,5,5,LY
5adf3c155542993a75d2643a,5,1,5,5,LY
5a79093955429974737f794b,3,5,5,5,LY
5a80762a5542996402f6a536,2,5,4,3,LY
5a7c0dab5542997c3ec972d2,5,4,5,5,LY
5ab3bcc55542992ade7c6e66,2,5,5,5,LY
5a7b47765542992d025e67d8,4,5,5,5,LY
5a8a764555429930ff3c0de1,2,1,5,5,LY
5ab51dae5542991779162d82,4,5,5,5,LY
5a7be2595542997c3ec972ac,4,5,5,5,LY
5ac52fc35542994611c8b403,4,2,5,5,LY
5ae738f75542991bbc9761c4,3,5,5,5,LY
5a7b60605542995eb53be931,2,2,3,3,LY
5a78c56455429974737f7876,3,1,5,5,LY
5a84d2775542994c784dda5f,1,5,5,5,LY
5ae212c9554299495565d9de,4,4,5,5,LY
5adbfffb5542994650320c39,3,5,5,5,LY
5a8a13f45542992d82986e9e,3,5,5,5,LY
5a8f25d755429924144829ea,1,4,5,5,LY
5ae5f82a554299546bf82feb,1,5,5,5,LY
5a8e0a005542995085b373a1,5,5,5,5,LY
5a90605d5542995651fb514d,5,5,5,5,LY
5a810d7655429903bc27b915,4,1,5,5,LY
5a7bd25a554299294a54ab13,5,5,5,5,LY
5abf12f25542997719eab667,4,2,5,5,LY
5a906c795542990a98493640,5,5,2,5,LY
5ade9545554299728e26c740,2,4,5,4,LY
5a90740a5542990a98493658,2,5,5,5,LY
5a8d93bf554299068b959d46,5,4,5,5,LY
5a8a423255429930ff3c0d30,5,5,5,5,LY
5a77ba6c55429967ab10524c,4,5,5,5,LY
5a8796345542994846c1cda3,2,5,4,3,LY
5a89fc305542993b751ca9dc,2,1,5,5,LY
5a8488f45542992a431d1a47,2,5,5,5,LY
5ae3a3835542990afbd1e19c,1,5,5,5,LY
5ae0b60655429945ae959437,1,3,5,5,LY
5a81d0515542990a1d231ed4,2,5,5,5,LY
5adf04c95542993a75d263d5,2,1,5,5,LY
5a8c758d5542995e66a475ff,4,5,5,5,LY
5ae18b555542997b2ef7d1f7,5,5,5,5,LY
5ac250aa5542992f1f2b384d,2,5,5,5,LY
5a8eb51655429917b4a5bdb5,5,5,5,5,LY
5ab602405542992aa134a401,4,2,5,4,LY
5adca5a45542994d58a2f692,1,5,5,4,LY
5ab262a4554299340b5254ac,4,5,5,3,LY
5abaa954554299232ef4a362,3,5,5,5,LY
5ab69f9a554299710c8d1ef8,3,1,5,5,LY
5ab8111c5542991d3222382b,3,5,5,5,LY
5a8bbb8c5542995d1e6f142e,5,5,5,5,LY
5abfcd7a5542993fe9a41e7a,3,5,5,5,LY
5adffd4755429906c02daa9b,3,5,5,5,LY
5aba67c255429955dce3ee10,1,4,5,4,LY
5abd56355542993062266c58,2,5,5,5,LY
5ab7cc145542995dae37e9a1,4,2,5,5,LY
5ab21c3b554299722f9b4cb4,3,5,4,5,LY
5a721e0e55429971e9dc928d,5,4,5,5,LY
5a7bcd68554299294a54aaf0,5,5,5,5,LY
5a79c2955542994f819ef097,2,5,5,5,LY
5ac0060f554299012d1db578,2,5,5,5,LY
5ae55e6855429960a22e02d0,4,3,5,5,LY
5a81778355429926c1cdad2e,5,5,5,5,LY
5abb08c65542996cc5e49f61,4,5,5,4,LY
5ac1276c554299294b2190bc,5,5,5,5,LY
5a790e69554299148911f9d7,5,5,4,1,LY
5ae6e0485542996d980e7ca6,4,3,5,2,LY
5ab2b630554299545a2cfa17,4,3,5,5,LY
5a7e71ab55429949594199bc,2,1,4,1,LY
5adfa92d55429942ec259ae0,2,2,5,5,LY
